DATE,CPI
1992/12/1,-0.070422535
1993/1/1,0.493305144
1993/2/1,0.350631136
1993/3/1,0.34940601
1993/4/1,0.278551532
1993/5/1,0.138888889
1993/6/1,0.138696255
1993/7/1,0
1993/8/1,0.27700831
1993/9/1,0.20718232
1993/10/1,0.413507926
1993/11/1,0.06863418
1993/12/1,0
1994/1/1,0.274348422
1994/2/1,0.341997264
1994/3/1,0.340831629
1994/4/1,0.135869565
1994/5/1,0.067842605
1994/6/1,0.338983051
1994/7/1,0.27027027
1994/8/1,0.404312668
1994/9/1,0.268456376
1994/10/1,0.066934404
1994/11/1,0.133779264
1994/12/1,0
1995/1/1,0.400801603
1995/2/1,0.399201597
1995/3/1,0.331345262
1995/4/1,0.330250991
1995/5/1,0.197498354
1995/6/1,0.197109067
1995/7/1,0
1995/8/1,0.262295082
1995/9/1,0.196206671
1995/10/1,0.326370757
1995/11/1,-0.065061809
1995/12/1,-0.065104167
1996/1/1,0.586319218
1996/2/1,0.323834197
1996/3/1,0.516462234
1996/4/1,0.385356455
1996/5/1,0.19193858
1996/6/1,0.06385696
1996/7/1,0.191448628
1996/8/1,0.191082803
1996/9/1,0.317863954
1996/10/1,0.316856781
1996/11/1,0.189513582
1996/12/1,0
1997/1/1,0.315258512
1997/2/1,0.314267756
1997/3/1,0.250626566
1997/4/1,0.125
1997/5/1,-0.062421973
1997/6/1,0.124921924
1997/7/1,0.124766064
1997/8/1,0.186915888
1997/9/1,0.248756219
1997/10/1,0.248138958
1997/11/1,-0.061881188
1997/12/1,-0.123839009
1998/1/1,0.185988841
1998/2/1,0.185643564
1998/3/1,0.185299568
1998/4/1,0.184956843
1998/5/1,0.184615385
1998/6/1,0.122850123
1998/7/1,0.122699387
1998/8/1,0.12254902
1998/9/1,0.122399021
1998/10/1,0.244498778
1998/11/1,0
1998/12/1,-0.06097561
1999/1/1,0.244051251
1999/2/1,0.121728545
1999/3/1,0.303951368
1999/4/1,0.727272727
1999/5/1,0
1999/6/1,0
1999/7/1,0.300842359
1999/8/1,0.23995201
1999/9/1,0.478755236
1999/10/1,0.178677784
1999/11/1,0.059453032
1999/12/1,0
2000/1/1,0.297088532
2000/2/1,0.592417062
2000/3/1,0.824499411
2000/4/1,0.058411215
2000/5/1,0.116754232
2000/6/1,0.524781341
2000/7/1,0.232018561
2000/8/1,0
2000/9/1,0.520833333
2000/10/1,0.172711572
2000/11/1,0.057471264
2000/12/1,-0.057438254
2001/1/1,0.632183908
2001/2/1,0.399771559
2001/3/1,0.227531286
2001/4/1,0.397275823
2001/5/1,0.4522329
2001/6/1,0.16882386
2001/7/1,-0.280898876
2001/8/1,0
2001/9/1,0.450704225
2001/10/1,-0.336511497
2001/11/1,-0.16882386
2001/12/1,-0.394588501
2002/1/1,0.226372383
2002/2/1,0.395256917
2002/3/1,0.562429696
2002/4/1,0.559284116
2002/5/1,0
2002/6/1,0.055617353
2002/7/1,0.111172874
2002/8/1,0.333148251
2002/9/1,0.166021029
2002/10/1,0.165745856
2002/11/1,0
2002/12/1,-0.220628792
2003/1/1,0.442233278
2003/2/1,0.770500826
2003/3/1,0.60076461
2003/4/1,-0.217155266
2003/5/1,-0.163220892
2003/6/1,0.108991826
2003/7/1,0.108873163
2003/8/1,0.380641653
2003/9/1,0.325027086
2003/10/1,-0.107991361
2003/11/1,-0.27027027
2003/12/1,-0.108401084
2004/1/1,0.488334238
2004/2/1,0.539956803
2004/3/1,0.644468314
2004/4/1,0.320170758
2004/5/1,0.585106383
2004/6/1,0.317292438
2004/7/1,-0.158144439
2004/8/1,0.05279831
2004/9/1,0.211081794
2004/10/1,0.526592944
2004/11/1,0.052383447
2004/12/1,-0.366492147
2005/1/1,0.21019443
2005/2/1,0.576822234
2005/3/1,0.782064651
2005/4/1,0.672529747
2005/5/1,-0.102774923
2005/6/1,0.051440329
2005/7/1,0.462724936
2005/8/1,0.511770727
2005/9/1,1.221995927
2005/10/1,0.201207243
2005/11/1,-0.803212851
2005/12/1,-0.4048583
2006/1/1,0.762195122
2006/2/1,0.201714574
2006/3/1,0.55359839
2006/4/1,0.850850851
2006/5/1,0.496277916
2006/6/1,0.197530864
2006/7/1,0.295712173
2006/8/1,0.196560197
2006/9/1,-0.490436488
2006/10/1,-0.542138985
2006/11/1,-0.148662042
2006/12/1,0.148883375
2007/1/1,0.305252725
2007/2/1,0.535036756
2007/3/1,0.910569585
2007/4/1,0.649616269
2007/5/1,0.611071867
2007/6/1,0.193797518
2007/7/1,-0.025437721
2007/8/1,-0.183390223
2007/9/1,0.275590741
2007/10/1,0.213919133
2007/11/1,0.593961787
2007/12/1,-0.067086313
2008/1/1,0.497057647
2008/2/1,0.290411218
2008/3/1,0.866821293
2008/4/1,0.606477839
2008/5/1,0.842088603
2008/6/1,1.007699693
2008/7/1,0.525101113
2008/8/1,-0.399156226
2008/9/1,-0.138301854
2008/10/1,-1.010133328
2008/11/1,-1.915289533
2008/12/1,-1.034247381
2009/1/1,0.435241738
2009/2/1,0.497293304
2009/3/1,0.243174846
2009/4/1,0.249636828
2009/5/1,0.288876383
2009/6/1,0.858989226
2009/7/1,-0.158558692
2009/8/1,0.224285004
2009/9/1,0.062548069
2009/10/1,0.096310119
2009/11/1,0.070775337
2009/12/1,-0.176119817
2010/1/1,0.341747357
2010/2/1,0.024920738
2010/3/1,0.410628354
2010/4/1,0.173688491
2010/5/1,0.077519735
2010/6/1,-0.097626708
2010/7/1,0.021104306
2010/8/1,0.138066428
2010/9/1,0.058173623
2010/10/1,0.124519889
2010/11/1,0.042064642
2010/12/1,0.171844079
2011/1/1,0.476323005
2011/2/1,0.493136503
