DATE,INDPRO
1974/11/1,43.5148
1974/12/1,41.9503
1975/1/1,41.3689
1975/2/1,40.4252
1975/3/1,39.9804
1975/4/1,40.0572
1975/5/1,39.9402
1975/6/1,40.1927
1975/7/1,40.6115
1975/8/1,41.0114
1975/9/1,41.5422
1975/10/1,41.7224
1975/11/1,41.7797
1975/12/1,42.3462
1976/1/1,42.9082
1976/2/1,43.3407
1976/3/1,43.4281
1976/4/1,43.6518
1976/5/1,43.8315
1976/6/1,43.8775
1976/7/1,44.1248
1976/8/1,44.4262
1976/9/1,44.5711
1976/10/1,44.56
1976/11/1,45.2454
1976/12/1,45.731
1977/1/1,45.4156
1977/2/1,46.1358
1977/3/1,46.7158
1977/4/1,47.1719
1977/5/1,47.541
1977/6/1,47.9063
1977/7/1,47.9714
1977/8/1,48.0157
1977/9/1,48.2097
1977/10/1,48.2839
1977/11/1,48.3755
1977/12/1,48.4573
1978/1/1,47.7512
1978/2/1,48.0098
1978/3/1,48.9358
1978/4/1,49.9074
1978/5/1,50.1513
1978/6/1,50.4751
1978/7/1,50.4371
1978/8/1,50.6393
1978/9/1,50.7631
1978/10/1,51.1523
1978/11/1,51.5456
1978/12/1,51.806
1979/1/1,51.525
1979/2/1,51.778
1979/3/1,51.9382
1979/4/1,51.3251
1979/5/1,51.7782
1979/6/1,51.7865
1979/7/1,51.7029
1979/8/1,51.3658
1979/9/1,51.3623
1979/10/1,51.7175
1979/11/1,51.6341
1979/12/1,51.6694
1980/1/1,51.944
1980/2/1,51.9633
1980/3/1,51.7454
1980/4/1,50.7197
1980/5/1,49.4766
1980/6/1,48.8383
1980/7/1,48.4907
1980/8/1,48.6456
1980/9/1,49.4578
1980/10/1,50.0861
1980/11/1,50.9209
1980/12/1,51.257
1981/1/1,50.9328
1981/2/1,50.7237
1981/3/1,50.9806
1981/4/1,50.7661
1981/5/1,51.0552
1981/6/1,51.3214
1981/7/1,51.6555
1981/8/1,51.5903
1981/9/1,51.3429
1981/10/1,50.9463
1981/11/1,50.3546
1981/12/1,49.8086
1982/1/1,48.7877
1982/2/1,49.7839
1982/3/1,49.4477
1982/4/1,48.9913
1982/5/1,48.6669
1982/6/1,48.5415
1982/7/1,48.3775
1982/8/1,47.9382
1982/9/1,47.8139
1982/10/1,47.3575
1982/11/1,47.2078
1982/12/1,46.8713
1983/1/1,47.7398
1983/2/1,47.4484
1983/3/1,47.8426
1983/4/1,48.4483
1983/5/1,48.747
1983/6/1,49.0434
1983/7/1,49.7739
1983/8/1,50.364
1983/9/1,51.0937
1983/10/1,51.4902
1983/11/1,51.721
